2017    109.3   116.4   118.9   108.5   109.6
2016    107.4   113.2   116.0   107.0   107.9
2015    106.9   112.3   113.4   106.3   108.0
2014    106.6   111.5   110.3   105.5   108.4
2013    105.7   110.4   107.0   104.4   107.5
2012    104.1   106.3   104.8   103.3   105.4
2011    102.1   102.8   101.8   101.2   103.1
2010    100.0   100.0   100.0   100.0   100.0
2009    98.9    98.8    98.4    99.3    99.0
2008    98.6    100.1   95.9    98.0    98.6
2007    96.1    94.4    94.1    97.3    95.4
2006    93.9    90.9    91.1    96.1    93.6
2005    92.5    89.1    88.5    96.6    90.9
2004    91.0    89.0    81.6    98.4    88.4
2003    89.6    89.3    76.3    99.1    87.1
2002    88.6    89.5    72.5    99.9    85.8
2001    87.4    88.7    69.7    99.2    85.0
2000    85.7    84.9    68.5    98.4    83.0
1999    84.5    85.5    67.4    98.3    80.7
1998    84.0    86.7    66.6    98.0    79.7
1997    83.2    85.8    65.4    97.6    78.9
1996    81.6    84.6    64.2    97.2    76.9
1995    80.5    84.1    63.7    96.5    75.1
1994    79.1    83.2    63.3    95.8    72.9
1993    77.1    81.9    62.6    94.5    70.1
1992    73.8    81.5    60.3    91.8    64.8
1991    70.2    79.8    57.4    89.4    59.5
